acteurs,annee,description,duree,genre,nombreDeSaisons,nombreEpisodes,paysOrigine,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Virginie Ledoyen,Charlie Dupont,Lannick Gautry",Depuis 2024,"Esther et Fred Cavalieri forment un couple flamboyant et profondément uni à leurs deux enfants. Alors pourquoi Esther, une femme en apparence sans histoire et sans ennemi, se retrouve-t-elle en danger de mort ? Pour la protéger, Fred embauche Mathias, un garde du corps, le temps que la police trouve le coupable. Seulement, dans leur promiscuité quotidienne, Esther et Mathias vont développer une intimité les attirant irrémédiablement l’un vers l’autre. Et cette tension sensuelle est un vrai danger pour cette famille. Esther peut-elle continuer à faire confiance à ses proches ? Qui veut du mal aux Cavalieri ?",52 min,"Drame,Romance",1 Saison,4 Episodes, France,"Fabienne Lesieur,Johanne Rigoulot","3,1","2,5",Contre toi,
"Nicola Coughlan,Luke Newton,Claudia Jessie",Depuis 2020,"À Londres, pendant la Régence, Daphne Bridgerton, fille aînée d'une puissante dynastie, est censée se trouver un mari, mais la concurrence est rude et ses envies sont ailleurs...",60 min,"Drame,Historique,Romance",4 Saisons,24 Episodes, U.S.A.,"Chris Van Dusen,Shonda Rhimes","3,8","3,8",La Chronique des Bridgerton,Bridgerton
"Fred Bianconi,Melanie Maudran,Yvon Back",Depuis 2018,"Claire revient à Montpellier après dix sept ans d’absence, afin de faire découvrir à Théo, son fils adolescent, sa ville natale. Quelques heures plus tard, elle est en garde à vue, accusée du meurtre d’un ami d’enfance. Pour se disculper, Claire n’aura d’autre choix que de percer tous les secrets du passé, notamment celui de la mort de sa sœur Angèle…,Tout en se confrontant à Manu, chargé d’enquêter sur le meurtre dont elle est accusée, elle retrouvera également Julien, sa passion de jeunesse, qui a entre-temps fondé une famille. Assumera-t-elle les sentiments qu’elle ressent tour à tour pour les deux hommes ?",26 min,"Drame,Feuilleton",6 Saisons,1433 Episodes, France,"Olivier Szulzynger,Eline Le Fur,Cristina Arellano","2,8","1,7",Un Si Grand Soleil,
"Karl Urban,Karl Urban,Jack Quaid",Depuis 2019,"Dans un monde fictif où les super-héros se sont laissés corrompre par la célébrité et la gloire et ont peu à peu révélé la part sombre de leur personnalité, une équipe de justiciers qui se fait appeler ""The Boys"" décide de passer à l'action et d'abattre ces super-héros autrefois appréciés de tous.",60 min,"Action,Drame,Science Fiction",5 Saisons,40 Episodes, U.S.A.,Eric Kripke,"3,6","4,4",The Boys,
"Jake Gyllenhaal,Ruth Negga,Bill Camp",Depuis 2024,Un brillant procureur se retrouve tout à coup accusé du meurtre d'une jeune et ambitieuse collègue avec laquelle il vient d'avoir une liaison passionnelle.,60 min,"Drame,Thriller",1 Saison,8 Episodes, U.S.A.,David E. Kelley,"3,8","3,7",Présumé innocent,Presumed Innocent
"Matt Smith (XI),Emma D'Arcy,Olivia Cooke",Depuis 2022,"L'histoire de la famille Targaryen, près de 200 ans avant les événements de ""Game Of Thrones"". Alors que le Roi Viserys règne sur Westeros, la question de sa succession inquiète. Sans progéniture mâle, qui prendra sa suite ? Avec pas moins de 10 dragons adultes sous leur contrôle, les Targaryen dominent le Royaume des Sept Couronnes depuis fort longtemps. La seule puissance capable de les renverser est la Maison Targaryen elle-même. Les tensions, trahisons et jalousies qui secouent le clan en interne leur seront-elles fatales ?",60 min,"Drame,Fantastique",3 Saisons,18 Episodes, U.S.A.,"George R.R. Martin,Ryan J. Condal","3,5","4,2",Game of Thrones: House of the Dragon,
"Amandla Stenberg,Jung-jae Lee,Charlie Barnett",Depuis 2024,"Alors que l’Ordre Jedi est à son apogée et que la prospérité règne dans la Haute République, plusieurs crimes mystérieux sont perpétrés. Un maître Jedi respecté va mener une enquête qui va l’opposer à une dangereuse guerrière issue de son passé. Au fur et à mesure que de nouveaux indices apparaissent, tous deux s'engagent sur un chemin obscur où des forces sinistres vont leur montrer que tout n'est pas toujours ce qu'il semble être...",60 min,"Aventure,Science Fiction,Thriller",1 Saison,8 Episodes, U.S.A.,Leslye Headland,"3,3","1,8",Star Wars : The Acolyte,Star Wars: The Acolyte
"Benedict Cumberbatch,Gaby Hoffmann,Jeff Hephner",2024,"New York, années 1980. Après la disparition d'Edgar, son fils de neuf ans, sur le chemin de l'école, Vincent se lance dans des recherches désespérées. Considéré comme l'un des meilleurs marionnettistes de la Big Apple, créateur d'une émission pour enfants très populaire, Vincent essaie de supporter l'absence de son fils, mais rongé par le chagrin, peu à peu il perd pied. Dégoûté de lui-même et accablé par la culpabilité, il s'accroche à Eric, une marionnette dessinée par Edgar, convaincu de pouvoir porter ce personnage de monstre bleu à l'écran quand son fils reviendra. Alors que le comportement de plus en plus destructeur de Vincent l'éloigne de sa famille, de ses collègues et des enquêteurs qui essaient de l'aider, Eric, une illusion née de la nécessité, devient son seul allié dans sa quête pour retrouver son fils.",60 min,"Drame,Thriller",1 Saison,6 Episodes, Grande-Bretagne,Abi Morgan,"3,8","3,7",Eric,
"Joel Edgerton,Jennifer Connelly,Alice Braga",Depuis 2024,"Jason Dessen est un physicien, professeur et père de famille. Une nuit, alors qu’il rentre à pied dans les rues de Chicago, il est enlevé et projeté dans une version alternative de sa vie. L'émerveillement se transforme rapidement en cauchemar lorsqu'il tente de revenir à la réalité, alors plongé dans le paysage hallucinant des vies qu'il aurait pu vivre. Dans ce labyrinthe de réalités, il se lance dans un voyage déchirant pour retrouver sa vraie famille et la sauver de l'ennemi le plus terrifiant et le plus difficile à battre : lui-même.",60 min,"Science Fiction,Thriller",1 Saison,9 Episodes, U.S.A.,Blake Crouch,"3,9","3,9",Dark Matter,
"Kristine Frøseth,Alisha Boe,Matthew Broome",Depuis 2023,"Filles fortunées, hommes puissants. Nouveaux riches, vieux secrets. Dans les années 1870, un groupe de jeunes Américaines dynamitent la saison mondaine londonienne au mépris des traditions centenaires du pays du flegme par excellence, donnant lieu à un choc des cultures entre l’Angleterre et les Etats-Unis. Envoyées en Angleterre en quête d'un mari et d'un titre, les boucanières ne comptent pas s’arrêter là, et dire ""je le veux"" n’est que le début…",60 min,"Drame,Historique,Romance",2 Saisons,16 Episodes, Grande-Bretagne,Katherine Jakeways,"3,2","3,6",The Buccaneers,
"Daniel Brühl,Alex Lutz,Théodore Pellerin",Depuis 2024,"En 1972, Karl Lagerfeld, 38 ans, ambitionne de devenir le couturier français le plus reconnu à une époque où Yves Saint Laurent est la figure incontestée de la mode. Tandis qu’il fait la rencontre de Jacques de Bascher, jeune dandy dont il s’éprend, Lagerfeld se mesure à Saint Laurent et Pierre Bergé, à la tête de la plus prestigieuse maison de couture. Entre rivalités de clans et conflits d'egos, fêtes et décadence, amours tragiques et amitiés grandioses, découvrez l'histoire du Kaiser Karl, celle d’une quête éperdue de reconnaissance.",43 min,"Biopic,Drame",1 Saison,6 Episodes, France,"Isaure Pisani-Ferry,Jennifer Have","4,0","4,0",Becoming Karl Lagerfeld,
"Ncuti Gatwa,Millie Gibson",Depuis 2024,"Grâce à son précieux vaisseau le TARDIS, le Docteur et sa nouvelle compagne de voyage explorent l'espace et le temps à la rencontre d'amis comme d'ennemis.",60 min,"Aventure,Science Fiction",2 Saisons,12 Episodes, Grande-Bretagne,Russell T Davies,"4,1","2,7",Doctor Who (2024),
"Nicole Wallace,Clara Galle,Ivan Massagué",Depuis 2024,"À 17 ans, Alma en a bientôt fini avec le lycée. Elle connaît depuis l'enfance ses amies Greta et Nata avec qui elle partage tout, des sorties aux ennuis typiques de leur âge : le sentiment d'exclusion, la jalousie, les problèmes avec les parents et même les relations toxiques. Mais quand le profil @Iam_colemanmiller publie sur les réseaux sociaux une photo avec la légende : ""Ça, c'était moi avant qu'on me viole"", plus rien ne semble normal et tout bascule. Comment et quand cette agression s'est-elle produite ? Qui se cache derrière ce profil ? Cette allégation est-elle vraie et si oui, qui en est la victime ?",45 min,Drame,1 Saison,8 Episodes, Espagne,,"3,9",,Ni una más,
